regime,alpha,n,m,d_star,perfect_rate,trials_total,time_seconds
Small,1.5,500,1250,4,0.86,91,1.367497205734253
Small,1.5,1000,2500,5,0.9090909090909091,61,1.8498592376708984
Small,1.5,2000,5000,5,0.9032258064516129,91,5.995604991912842
Small,1.5,5000,12500,5,0.9047619047619048,41,6.912462949752808
Medium,7.0,500,4000,1,0.9024390243902439,101,3.9755971431732178
Medium,7.0,1000,8000,2,1.0,50,3.9175078868865967
Medium,7.0,2000,16000,2,1.0,60,9.625339984893799
Medium,7.0,5000,40000,2,1.0,30,12.397118330001831
Large,15.0,500,8000,1,1.0,40,3.285968780517578
Large,15.0,1000,16000,1,1.0,20,3.0661282539367676
Large,15.0,2000,32000,1,1.0,20,5.989990949630737
Large,15.0,5000,80000,1,1.0,20,14.98099684715271
